Date,Open,High,Low,Close,Adj Close,Volume
2026-01-28,336.06,337.54,331.94,336.01,335.77,27434400
2026-01-29,340.30,342.29,326.54,338.25,338.01,39785600
2026-01-30,340.00,340.00,332.29,338.00,337.76,31024000
2026-02-02,336.22,344.83,335.63,343.69,343.45,32006100
2026-02-03,347.34,349.00,337.47,339.71,339.47,36506700
2026-02-04,342.96,343.31,328.52,333.04,332.81,70618400
2026-02-05,312.22,332.69,306.46,331.25,331.02,88205800
2026-02-06,327.18,330.38,319.92,322.86,322.63,56380500
2026-02-09,320.93,327.70,317.26,324.32,324.09,39640100
2026-02-10,320.97,321.67,314.61,318.58,318.36,39170000
2026-02-11,318.97,321.06,309.66,310.96,310.74,45406400
2026-02-12,312.09,316.24,307.20,309.00,308.78,47761300
2026-02-13,307.73,308.63,303.71,305.72,305.50,38499700
2026-02-17,300.04,304.44,296.25,302.02,301.81,39247600
2026-02-18,302.09,305.38,301.25,303.33,303.12,28482100
2026-02-19,301.82,305.47,300.04,302.85,302.64,25834400
2026-02-20,304.32,316.50,303.90,314.98,314.76,53210800
2026-02-23,319.05,319.52,309.87,311.49,311.27,31423000
2026-02-24,310.52,312.27,305.93,310.90,310.68,25615600
2026-02-25,312.06,313.64,309.44,312.90,312.68,29963600
2026-02-26,312.64,313.14,302.35,307.38,307.16,36431200
2026-02-27,304.14,312.37,303.80,311.76,311.54,44640600
2026-03-02,303.23,308.49,301.30,306.52,306.30,34790200
2026-03-03,298.59,303.94,296.71,303.58,303.37,35497000
2026-03-04,302.89,305.47,300.75,303.13,302.92,29536200
2026-03-05,303.04,303.30,297.99,300.88,300.67,35752300
2026-03-06,296.09,300.53,295.18,298.52,298.31,25576900
2026-03-09,294.36,306.80,294.08,306.36,306.36,29312100
2026-03-10,306.17,309.51,305.57,307.04,307.04,23239700
2026-03-11,306.75,311.42,305.92,308.70,308.70,24125700
2026-03-12,306.82,308.94,301.03,303.55,303.55,24928300
2026-03-13,307.01,307.69,300.44,302.28,302.28,23693100
2026-03-16,304.35,306.49,303.02,305.56,305.56,23519700
2026-03-17,305.86,311.42,305.50,310.92,310.92,21955200
2026-03-18,309.27,312.47,306.93,307.69,307.69,20009800
2026-03-19,304.01,308.06,302.35,307.13,307.13,25075800
2026-03-20,305.46,306.00,298.27,301.00,301.00,44364100
2026-03-23,302.11,305.98,300.93,302.06,302.06,29326900
2026-03-24,299.20,299.92,290.33,290.44,290.44,36864300
2026-03-25,293.44,296.00,289.24,290.93,290.93,29460700
2026-03-26,287.91,287.95,278.50,280.92,280.92,39080600
2026-03-27,277.28,279.37,273.95,274.34,274.34,35890600
2026-03-30,276.42,277.09,272.11,273.50,273.50,35141200
2026-03-31,278.04,288.08,277.09,287.56,287.56,43875400
2026-04-01,290.84,300.52,290.41,297.39,297.39,37684500
2026-04-02,290.69,298.08,289.45,295.77,295.77,21666500
2026-04-06,295.87,300.62,295.18,299.99,299.99,16945500
2026-04-07,302.73,305.63,297.72,305.46,305.46,23205400
2026-04-08,320.45,322.08,315.02,317.32,317.32,33547100
2026-04-09,315.91,319.54,311.06,318.49,318.49,23739200
2026-04-10,320.02,321.83,316.32,317.24,317.24,19152600
2026-04-13,317.14,321.63,315.47,321.31,321.31,18866400
2026-04-14,324.79,333.29,323.75,332.91,332.91,27721400
2026-04-15,332.89,337.48,330.90,337.12,337.12,24918800
2026-04-16,338.75,339.88,334.52,336.02,336.02,20541500
2026-04-17,337.65,342.32,336.24,341.68,341.68,25581900
2026-04-20,340.76,341.40,336.61,337.42,337.42,18784200
2026-04-21,337.69,339.34,331.35,332.29,332.29,23123800
2026-04-22,337.02,339.82,335.17,339.32,339.32,20293000
2026-04-23,341.18,341.96,336.18,338.89,338.89,18650300
2026-04-24,338.73,345.27,335.39,344.40,344.40,26426100
2026-04-27,345.98,353.18,342.73,350.34,350.34,28576900
2026-04-28,348.55,352.42,346.12,349.78,349.78,27824100
2026-04-29,347.57,355.79,344.21,349.94,349.94,35376300
2026-04-30,374.07,385.84,365.82,384.80,384.80,72040000
2026-05-01,381.63,386.76,379.05,385.69,385.69,30105200
2026-05-04,385.63,387.38,379.79,383.25,383.25,26298600
2026-05-05,386.23,392.82,384.02,388.43,388.43,23878600
2026-05-06,394.25,399.85,392.76,398.04,398.04,31308500
2026-05-07,399.92,400.10,392.68,397.99,397.99,24433500
2026-05-08,397.00,402.00,396.36,400.80,400.80,21461800
2026-05-11,393.65,397.44,388.47,388.64,388.64,30753700
2026-05-12,387.34,388.52,382.77,387.35,387.35,26017500
2026-05-13,385.60,403.70,385.00,402.62,402.62,28144600
2026-05-14,397.28,402.93,395.84,401.07,401.07,21136700
2026-05-15,396.32,399.54,393.18,396.78,396.78,20309700
2026-05-18,395.69,408.61,394.53,396.94,396.94,26837200
2026-05-19,396.96,397.15,386.11,387.66,387.66,39545700
2026-05-20,387.70,393.86,382.90,388.91,388.91,31744400
2026-05-21,385.70,392.50,383.02,387.66,387.66,24852800
2026-05-22,387.35,388.74,381.77,382.97,382.97,20442100
2026-05-26,384.51,389.26,382.60,388.88,388.88,27747400
2026-05-27,386.67,393.88,385.90,388.83,388.83,23087300
2026-05-28,388.00,391.87,385.16,390.13,390.13,24357500
2026-05-29,385.24,385.24,378.46,380.34,380.34,44415800
2026-06-01,376.52,378.56,373.52,376.37,376.37,28672100
2026-06-02,366.59,373.54,358.44,361.85,361.85,50412300
2026-06-03,362.03,366.45,358.08,358.99,358.99,55441600
2026-06-04,358.90,373.25,358.21,372.19,372.19,44055500
2026-06-05,366.34,372.08,364.12,368.53,368.53,37375600
